"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","relationshipAccordingTo","subfamily","resourceRelationshipID","eventType","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","superfamily","identifierRole","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr1411","8edb41c2-2e93-4e77-b25c-9352a8c137a4 | b839804c-0d88-440a-8b67-fa7bbc481cdb | bdeed390-0097-445b-9594-0904bcb52129 | c8787dfc-ac6a-467f-8e9b-70cb2de4917e | cd49c977-fc4a-49dc-8776-400ad99aca84","2022-05-09T01:40:11Z","","CC-BY-NC 4.0 (Int)","John Bromilow","","","https://www.inaturalist.org/observations/99055640","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","Record is ACT sensitive in Australian Capital Territory. Generalised to 1km by ACT Government.","","https://www.inaturalist.org/observations/99055640","99055640","","John Bromilow","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2021-10-18T16:09:00Z","16:09:00+11:00","291","291","2021","10","18","2021/10/18 4:09 PM AEDT","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","","","","","","","","","","","","-35.34","149.17","EPSG:4326","1000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215748340","","","John Bromilow","2021-10-23T05:53:38Z","","research","","557725","","","","","","","https://id.biodiversity.org.au/taxon/apni/51398801","Caladenia atrovespa","Caladenia atrovespa","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","(D.L.Jones) G.N.Backh.","Thin-clubbed Mantis Orchid","","","","","","","","","Caladenia atrovespa","","","","","","","","","","","","","","","","","521d93be-229e-4a19-8ab4-9b350c30fb62","","","","","","","","","","8edb41c2-2e93-4e77-b25c-9352a8c137a4 | b839804c-0d88-440a-8b67-fa7bbc481cdb | bdeed390-0097-445b-9594-0904bcb52129 | c8787dfc-ac6a-467f-8e9b-70cb2de4917e | cd49c977-fc4a-49dc-8776-400ad99aca84",""
"dr1411","06495e53-c8ad-4ebc-8199-97caea7955a0 | 3d70c3b9-27ea-4a86-a74c-df51352b1dec | 3dd24e97-fc34-4097-86e1-2d4e32e325f8","2023-12-21T01:48:57Z","","CC-BY-NC 4.0 (Int)","Ciaran Ernst-Russell","","","https://www.inaturalist.org/observations/145160512","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/145160512","145160512","","Ciaran Ernst-Russell","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2022-12-06T14:21:24Z","14:21:24+11:00","340","340","2022","12","6","2022-12-06 14:21:24+11:00","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Namadgi National Park, Cotter River, ACT, AU","","","","","","","","","","","-35.557612","148.777755","EPSG:4326","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322971484","","","Ciaran Ernst-Russell","2022-12-27T04:28:40Z","","research","","802784","","","","","","","https://id.biodiversity.org.au/taxon/apni/51398763","Caladenia alpina","Caladenia alpina","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","R.S.Rogers","Mountain Hood-orchid","","","","","","","","","Caladenia alpina","","","","","","","","","","","","","","","","","a29aa811-7a6a-4152-a4dd-fd83726512b2","","","","","","","","","","06495e53-c8ad-4ebc-8199-97caea7955a0 | 3d70c3b9-27ea-4a86-a74c-df51352b1dec | 3dd24e97-fc34-4097-86e1-2d4e32e325f8",""
"dr1411","2814f801-a26e-43c6-b1ac-e8ad4f431a20 | 5c22a08a-4230-4566-9b77-813166db8f0f | b9ff2ec4-f662-4cb1-a0ca-ab75d930f4ed","2024-01-08T04:52:33Z","","CC-BY-NC 4.0 (Int)","bennybotany85","","","https://www.inaturalist.org/observations/97628876","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/97628876","97628876","","bennybotany85","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2021-10-09T15:55:53Z","15:55:53+11:00","282","282","2021","10","9","Sat Oct 09 2021 15:55:53 GMT+1100 (GMT+11)","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Red Hill Nature Reserve, Canberra Central District, ACT, AU","","","","","","","","","","","-35.268426","149.099112","EPSG:4326","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213586196","","","polyscias099","2021-10-13T07:28:47Z","","research","","321090","","","","","","","https://id.biodiversity.org.au/taxon/apni/51458816","Caladenia carnea","Caladenia carnea","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","R.Br.","Pink Fingers","","","","","","","","","Caladenia carnea","","","","","","","","","","","","","","","","","c02980c8-e947-49f6-80ab-497ea9495d01","","","","","","","","","","2814f801-a26e-43c6-b1ac-e8ad4f431a20 | 5c22a08a-4230-4566-9b77-813166db8f0f | b9ff2ec4-f662-4cb1-a0ca-ab75d930f4ed",""
"dr1411","66588cee-fcee-457e-998b-ece09334491d | 95508624-6cc2-41b6-b0fa-5df3075bd4de","2024-10-15T02:08:11Z","","CC-BY-NC 4.0 (Int)","Richie Southerton","","","https://www.inaturalist.org/observations/101753759","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","Record is ACT sensitive in Australian Capital Territory. Generalised to 1km by ACT Government.","","https://www.inaturalist.org/observations/101753759","101753759","","Richie Southerton","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2021-11-23T16:53:00Z","16:53:00Z","327","327","2021","11","23","2021/11/23 4:53 PM UTC","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","","","","","","","","","","","","-35.26","149.1","EPSG:4326","1000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222364742","","","Richie Southerton","2021-11-23T11:04:46Z","","research","","553190","","","","","","","https://id.biodiversity.org.au/taxon/apni/51398915","Caladenia congesta","Caladenia congesta","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","R.Br.","Black-tongue Hood-orchid","","","","","","","","","Caladenia congesta","","","","","","","","","","","","","","","","","5c760294-da25-4ee3-8622-7bc9a4674dfb","","","","","","","","","","66588cee-fcee-457e-998b-ece09334491d | 95508624-6cc2-41b6-b0fa-5df3075bd4de",""
"dr1411","07ba39e5-50c8-4ea9-8557-06ff16c2c137","2023-10-17T06:14:29Z","","CC-BY-NC 4.0 (Int)","byomonkey","","","https://www.inaturalist.org/observations/184657442","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/184657442","184657442","","byomonkey","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2023-09-10T10:40:42Z","10:40:42+10:00","253","253","2023","9","10","2023-09-10 10:40:42","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Canberra Central ACT 2601, Australia","","","","","","","","","","","-35.27211","149.090892","EPSG:4326","164.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411451827","","","byomonkey","2023-09-25T03:27:57Z","","research","","369421","","","","","","","https://id.biodiversity.org.au/taxon/apni/51399038","Caladenia fuscata","Caladenia fuscata","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","(Rchb.f.) M.A.Clem. & D.L.Jones","Dusky Fingers","","","","","","","","","Caladenia fuscata","","","","","","","","","","","","","","","","","5444874c-09d5-4804-be4a-c3073e05588d","","","","","","","","","","07ba39e5-50c8-4ea9-8557-06ff16c2c137",""
"dr1411","7d4101af-b3ea-4a6b-93f2-29b383bcff5d | 8c8981c7-f98e-4cb9-87eb-887710171ae8 | e96392d2-ba55-4e2c-9461-2325f982e315 | fa738ed2-9cfc-4136-8792-c23196abef75","2022-01-05T05:15:44Z","","CC-BY-NC 4.0 (Int)","spotting-nature","","","https://www.inaturalist.org/observations/102805972","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/102805972","102805972","","spotting-nature","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2021-11-28T12:06:31Z","12:06:31+11:00","332","332","2021","11","28","2021-11-28 12:06:31","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Bendora Hut","","","","","","","","","","","-35.422144","148.795473","EPSG:4326","204.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225390761","","","spotting-nature","2021-12-10T07:30:26Z","","research","","553185","","","","","","","https://id.biodiversity.org.au/taxon/apni/51399207","Caladenia moschata","Caladenia moschata","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","(D.L.Jones) G.N.Backh.","Musk Hood-orchid","","","","","","","","","Caladenia moschata","","","","","","","","","","","","","","","","","dafe969a-b74a-45e8-a0e2-3995e89437f7","","","","","","","","","","7d4101af-b3ea-4a6b-93f2-29b383bcff5d | 8c8981c7-f98e-4cb9-87eb-887710171ae8 | e96392d2-ba55-4e2c-9461-2325f982e315 | fa738ed2-9cfc-4136-8792-c23196abef75",""
"dr1411","057a496f-2730-46d7-9372-a1f77d7d0800","2023-01-13T14:46:42Z","","CC-BY-NC 4.0 (Int)","josephduck","","","https://www.inaturalist.org/observations/143704667","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/143704667","143704667","","josephduck","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2022-12-04T16:58:28Z","16:58:28+11:00","338","338","2022","12","4","2022-12-04 16:58:28","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Paddys River ACT 2620, Australia","","","","","","","","","","","-35.476557","148.949009","EPSG:4326","6369.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318837583","","","Ciaran Ernst-Russell","2022-12-07T06:42:27Z","","research","","553185","","","","","","","https://id.biodiversity.org.au/taxon/apni/51399207","Caladenia moschata","Caladenia moschata","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","(D.L.Jones) G.N.Backh.","Musk Hood-orchid","","","","","","","","","Caladenia moschata","","","","","","","","","","","","","","","","","a6ea10da-7a56-4a14-a1b9-aa6f57995faa","","","","","","","","","","057a496f-2730-46d7-9372-a1f77d7d0800",""
"dr1411","117aa43b-1fb1-4dc1-bc4d-c1a336d8be74 | 57c82a7a-6c4b-4c02-9353-3487d1a05f09","2023-10-18T03:42:34Z","","CC0","Niels Raes","","","https://www.inaturalist.org/observations/187614095","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/187614095","187614095","","Niels Raes","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2023-10-15T17:56:55Z","17:56:55+11:00","288","288","2023","10","15","2023-10-15 17:56:55","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Acton, AU-CT, AU","","","","","","","","","","","-35.281505","149.10624","EPSG:4326","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418545701","","","Ciaran Ernst-Russell","2023-10-17T06:10:10Z","","research","","553185","","","","","","","https://id.biodiversity.org.au/taxon/apni/51399207","Caladenia moschata","Caladenia moschata","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","(D.L.Jones) G.N.Backh.","Musk Hood-orchid","","","","","","https://orcid.org/0000-0002-4329-4892","","","Caladenia moschata","","","","","","","","","","","","","","","","","344f2f34-7f60-456a-b018-caca2839eaab","","","","","","","","","","117aa43b-1fb1-4dc1-bc4d-c1a336d8be74 | 57c82a7a-6c4b-4c02-9353-3487d1a05f09",""
"dr1411","8d3e409f-15b4-46e5-8d30-15f9a62d9be0 | f4c77299-b75b-42e6-a776-a2d4bb18e5e4","2024-02-20T09:07:37Z","","CC-BY-NC 4.0 (Int)","happy_wanderer","","","https://www.inaturalist.org/observations/140487858","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/140487858","140487858","","happy_wanderer","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","","","","2022-10-29T15:22:00Z","15:22:00+11:00","302","302","2022","10","29","2022/10/29 3:22 PM","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","Canberra Central, ACT, Australia","","","","","","","","","","","-35.267061","149.108294","EPSG:4326","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310093925","","","Ciaran Ernst-Russell","2022-10-31T01:41:13Z","","research","","557906","","","","","","","https://id.biodiversity.org.au/taxon/apni/51398933","Caladenia cucullata","Caladenia cucullata","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","Fitzg.","Hood Orchid","","","","","","","","","Caladenia cucullata","","","","","","","","","","","","","","","","","5d78f949-8857-4f96-8129-21136437587f","","","","","","","","","","8d3e409f-15b4-46e5-8d30-15f9a62d9be0 | f4c77299-b75b-42e6-a776-a2d4bb18e5e4",""
"dr1411","adba8065-05f5-4e35-92a7-14562e582239","2022-10-19T22:25:55Z","","CC-BY-NC 4.0 (Int)","Michael Saxon","","","https://www.inaturalist.org/observations/139306404","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","Record is ACT extremely sensitive in Australian Capital Territory. Generalised to 10km by ACT Government.","","https://www.inaturalist.org/observations/139306404","139306404","","Michael Saxon","","","","","","","","","PRESENT","","","","","","","","1 only","","","","","","","","","","","","2022-10-19T17:31:23Z","17:31:23+11:00","292","292","2022","10","19","2022-10-19 17:31:23+11:00","","","","","","","","","","","","","","","Australia","AU","Australian Capital Territory","","","","","","","","","","","","","","","-35.2","149.0","EPSG:4326","10000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","307071047","","","Michael Saxon","2022-10-19T06:32:08Z","","research","","1127611","","","","","","","https://id.biodiversity.org.au/taxon/apni/51398755","Caladenia actensis","Caladenia actensis","","","","","","","","Plantae","Charophyta","Equisetopsida","Asparagales","Orchidaceae","Caladenia","","","","species","","D.L.Jones & M.A.Clem.","Canberra Spider Orchid","","","","","","","","","Caladenia actensis","","","","","","","","","","","","","","","","","324d71ac-677f-4e3e-9858-c79d2e7b40bb","","","","","","","","","","adba8065-05f5-4e35-92a7-14562e582239",""
