Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
S1,-30.264663,149.85268,0.05,0,10,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,55.77109602,21.82347236,22.40543162,PSA,6.7,265,1,1.7,1.2,0.2,12,12,1.2,0.74,26,2.85
S1,-30.264663,149.85268,0.2,10,30,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,52.69699478,21.10428429,22.75541115,NIR,7.74,211,0.83,1.4,1.1,0.27,12,13,0.64,1.5,27,5.56
S1,-30.264663,149.85268,0.45,30,60,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,57.48031496,20.47244094,22.04724409,PSA,9.05,254,0.72,1.2,1.3,0.58,10,16,0.67,3.3,30,11
S1,-30.264663,149.85268,0.7,60,80,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,51.99911499,17.45808983,25.53447533,NIR,8.95,337,0.49,0.84,1.3,0.81,7,15,0.59,4.8,27,17.78
S1,-30.264663,149.85268,0.9,80,100,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,53.98920216,22.4955009,23.51529694,PSA,9.36,391,0.29,0.5,0.93,0.64,5.5,12,0.61,5.2,23,22.61
S10,-30.265302,149.884838,0.05,0,10,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,50.39706781,27.48930971,22.11362248,PSA,8.32,69,0.82,1.4,1.1,0.28,7.5,11,0.69,0.42,20,2.1
S10,-30.265302,149.884838,0.2,10,30,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,54.75682068,21.97114944,23.41884804,NIR,8.22,97,0.74,1.3,1,0.26,8,12,0.22,0.78,21,3.71
S10,-30.265302,149.884838,0.45,30,60,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,54.16792055,24.07463136,21.75744809,PSA,9.14,183,0.62,1.1,1.1,0.48,9,15,0.38,3,27,11.11
S10,-30.265302,149.884838,0.7,60,80,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,59.33605957,23.74036026,17.97440147,NIR,9.18,292,0.48,0.83,0.81,0.33,6,12,0.23,3.8,22,17.27
S11,-30.278542,149.838791,0.05,0,10,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,56.09224057,12.46494235,31.44281708,PSA,8.94,247,0.64,1.1,1.2,0.56,14,8.2,0.64,1.7,25,6.8
S11,-30.278542,149.838791,0.2,10,30,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,59.86071777,15.18445015,29.26007843,NIR,9.25,250,0.51,0.88,0.94,0.43,11,9.9,0.26,3,24,12.5
S11,-30.278542,149.838791,0.45,30,60,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,57.76636714,15.24390244,26.98973042,PSA,9.32,379,0.42,0.72,0.92,0.5,9.5,11,0.36,5.2,26,20
S11,-30.278542,149.838791,0.7,60,80,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,55.80745697,20.9389782,24.84916115,NIR,8.44,1611,0.24,0.41,0.65,0.41,10,7.3,0.38,4.3,22,19.55
S11,-30.278542,149.838791,0.9,80,100,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,61.66419019,21.54531947,16.79049034,PSA,8.98,1036,<0.15,0.26,0.4,0.25,5.5,6.7,0.31,5.7,18,31.67
S12,-30.275437,149.830843,0.05,0,10,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,48.45548153,18.17080557,33.3737129,PSA,8.49,189,1.02,1.8,1.1,0.08,9.5,9.1,1.5,0.22,20,1.1
