"Name","04/04","05/04","06/04","07/04","08/04","09/04","10/04","11/04","12/04","13/04"
"Allanooka (AN001)","30.3","29.6","31.4","29.4","29.5","29.7","33.6","37.7","28","26.3"
"Amelup (AM001)","14.2","20","23.9","30.2","25.4","23.4","26.8","30.9","28.5","19.5"
"Babakin (SH002)","19.6","22.1","31.1","29.8","27.2","26.3","26.6","31.2","34.1","20.6"
"Badgingarra (BA)","33","32","32.4","30.6","29.2","29.6","32.2","36.2","30.3","26.6"
"Balingup (BP001)","16.2","24.4","26.7","30.2","25.1","24.2","26.3","31.1","23.3","20"
"Baudin (Lawson Rd 2) (BAUD)","15.8","24.3","26.3","28.2","23.8","22.6","23.8","27.4","22.1","21.2"
"Beacon (BE001)","24.5","29.9","32.4","31.2","28","29.4","30.2","33.5","35.6","29.9"
"Belka East (ME004)","22.2","21.1","32.7","31.9","27.9","27.1","29.2","32","36.2","28.4"
"Bencubbin (BC001)","23.9","28","32.5","32.1","28.3","29.3","30.1","33.2","35.1","30.2"
"Bindi Bindi (BB001)","27.5","31.3","32.8","30.6","29.4","29.7","30.5","35.2","31.6","25.6"
"Bindoo (ER002)","34.9","33.3","34.1","31.7","32.4","33.8","36.5","40.3","34","33.3"
"Bindoon (BX001)","23.5","25.8","31.8","31","29.3","28.4","30.6","36.5","29.5","25.5"
"Binnu (BI)","30.7","31.6","33","29.5","31.5","32.8","35.5","38.6","30.9","30.6"
"Binnu West (BI002)","28.4","28.9","31.1","28.5","29.5","32.1","36.5","37.8","29","29.5"
"Bonnie Rock (BR)","23.6","27.1","32.5","30","28.7","29.8","29.9","32.2","37.5","32.1"
"Boyanup (DB002)","18.1","25.7","29.3","28.9","28.7","25.7","28.1","31.4","25.9","25.7"
"Boyatup (BO001)","19.7","24.2","25.7","29.1","29.6","21.5","24.6","27.4","30.9","26.7"
"Bremer Bay (BY001)","18.4","21.4","23.3","27.1","24.9","23.9","25.4","28.4","25.6","21.2"
"Brookton (BN001)","18.6","24.4","29.2","31","28.9","27.4","27.4","33","31.2","24.8"
"Broome (Skuthorpe) (BR010)","35.8","33.7","36.2","36.6","36.1","38.9","40.4","38.3","38.2","38.2"
"Brunswick Junction (BJ)","19.4","27.9","29.5","28","27.6","23.9","27.7","32.4","26.1","25.9"
"Buntine West (BT001)","29.9","31.8","32.3","31.7","29.1","30.5","32","36.1","33.7","31.7"
"Burakin (BK001)","23.4","29.9","31.5","31.4","28.9","30","31","33.8","34.5","30.4"
"Burracoppin South (SB001)","20.3","22.3","29.2","28.4","27.4","26.1","28","30.3","35.7","28.9"
"Canna East (CE001)","33.1","32.3","33.5","29.7","29.9","31.5","32.9","37.1","33.8","31.5"
"Capel (CL001)","17.3","25.1","28.2","28.7","27.4","23.9","26.7","29.8","24.6","23.4"
"Carnamah East (CE002)","32.2","31.7","32.7","31.5","30.3","31.7","33.6","36.8","33.8","31.8"
"Carnarvon 1 (CA)","29.4","32.5","31.4","31.3","32.3","34.5","38.1","40","31.7","31.9"
"Cascade (CA001)","16.7","20.4","27.1","28.3","29.8","23.9","26.5","27.8","32.9","23.1"
"Cascade NE (CS003)","17.2","20","28.2","27.9","29.9","25.1","26.4","27.9","30.1","25.4"
"Cascade NW (CS002)","16.5","21","27.5","29.1","29","24.4","26.4","28.5","34","22.7"
"Chapman (CH)","29.5","30.6","31.8","29.2","31","32.3","35.4","38.1","30.5","29.6"
"Condingup (CN001)","17.9","23.9","27.4","28.5","28.3","22.5","25.7","27.6","30.7","24.6"
"Coomalbidgup (CP001)","17.9","22.7","27.4","28.3","28.6","22.6","24.6","28.3","28.3","22.3"
"Coorow (CW001)","30.5","31.8","32.2","31.5","29.7","30.5","31.9","36.2","33.1","29.6"
"Cordering (CD001)","15.3","22.8","26.2","28.6","25.2","22.5","24.3","30.2","24.4","19.3"
"Corrigin (CO001)","17.9","23.5","29.8","29.3","27.6","26.8","26.9","31.6","33.6","20.8"
"Corrigin East (CO002)","19","22.3","31","29.1","28.3","27.2","27.1","31.3","35.1","20.6"
"Cowalellup (CP002)","14.6","21.1","25.1","29.8","26.1","23.7","26.6","30.3","27.9","19.7"
"Cranbrook Dam 3 (CR001)","16.4","20.6","24.4","29.4","23.3","23","23.8","30","22.4","18.4"
"DBCA-B Portable (BCAB)","31.7","32.3","32","29.8","28.8","29","33.1","36.7","29.2","30.1"
"DFES-A Gascoyne Junction (BTSA)","35","35.1","35.4","35.2","35.9","38.7","40.7","","",""
"DFES-B Talbot West (BTSB)","19.1","21.8","29.2","29.5","28.3","26.7","27.3","32.5","31.3","22"
"DFES-C Kalbarri Ap (BTSC)","27.2","27.8","29.9","29.1","31","32.7","35.8","37.9","31.6","28.7"
"DFES-D Boorabbin (BTSD)","23.5","24.4","25.6","32.5","27.9","26.1","27.4","29.4","36.4","33.1"
"DFES-E Gibb River Ap (BTSE)","","","","","27.9","33.9","34.9","33.8","33.2","32"
"DFES-F Collie (BTSF)","16.5","24.8","27.4","29","28.2","24.2","26.6","32.2","24.9","22.5"
"DFES-H Caiguna (BTSH)","23.8","27.9","31.5","36.6","27.6","26.6","23.8","28.5","36.7","38.9"
"DFES-I Lorna Glen (BTSI)","33.2","34.3","36","37.6","35.7","34.7","34","34","38.4","37"
"DFES-J BCoE (BTSJ)","22.3","28.7","29.4","27.3","27.7","25.2","28.4","31.3","27.8","28.8"
"Dandaragan East (DG001)","29.7","30.1","31.7","29.9","28.1","28.1","30.9","35.8","28.1","25.3"
"Dardanup (Waterloo) (DA)","18.4","26.1","28.1","27.5","27.9","24.1","27.2","30.7","25.2","24.6"
"Dardanup 2 (Henty) (DA002)","16.1","24.6","26.9","26.8","26.9","22.6","26.3","30.6","23.6","23"
"Darkan (DK001)","16.8","24.4","28.3","30.2","27.3","24.2","25.8","31.1","26.7","20.8"
"Denmark (DM001)","17.3","21.5","23.4","26","21.4","21.6","21.7","29.5","21.1","18.2"
"Dinninup (DP001)","16.2","22.6","25.2","29.7","25","22.8","25.7","31","23.8","18.9"
"Donnybrook (DB)","17.3","25.5","28.7","28.6","28.1","24.8","28.2","31.5","25.7","24.2"
"Dragon Rocks (DR001)","15.6","19.5","28.1","27","26.4","24.3","25.1","29.4","34.1","19.4"
"Dudawa (TS002)","32.4","31.2","32.6","29.9","30.8","31.7","33.6","37.6","33.3","31.3"
"Dulundi (Silent Grove) (SILE)","33.7","34.6","35.3","34","35.6","36.2","35.8","35.6","35.4","35.4"
"Dumbleyung (DU001)","16.7","23.8","27.7","30.7","26.9","24.1","25.7","31.1","28.6","21.7"
"Dumbleyung GRDC (DU002)","16.2","23.6","27.2","31.2","26.8","24","25.5","30.6","29","21.3"
"East Beverley (EB)","18.8","23.2","30.2","30.4","28.2","26.8","27.7","33.2","33.5","21.1"
"Ejanding (EJ001)","44.6","23.7","32.3","32.3","29.5","29","30","33.9","33.9","28"
"Eneabba (EN001)","31.6","29.4","31.5","30.3","28.5","30","33.6","37.4","30.4","28.7"
"Eradu 2 (ER)","31.1","30.8","32.5","30.9","31.5","33.3","35.6","39","31.8","31.3"
"Erangy Springs (ES001)","33.2","31.5","32.9","30.6","30.7","31.6","34.4","39.1","31.2","30.9"
"Esperance Downs (ES)","16.7","23.4","28.1","28.5","29.2","23.2","25.7","28.5","31.1","24.4"
"Floreat Park (FL)","24.2","28.5","29.9","27.6","27.6","25.7","28.3","32","27","28.6"
"Fouracres (GI001)","17.6","24","27.9","28.5","23.4","22.2","21.3","28","21.5","20.6"
"Frankland (FR)","16.3","21.4","23.1","29.8","23","22.2","25","29.3","21.2","18.6"
"Frankland North (FR002)","16.2","22.5","24.6","30.5","25.1","22.7","25.7","30.5","23.6","18.9"
"Gairdner (GA001)","17.6","21.9","23.8","27.8","24.2","23.9","25.8","30.9","24.5","20.7"
"Gingin West (GW)","25.5","29.5","29.9","29.3","28","27.3","30.5","36.5","26.8","29.9"
"Glen Eagle (GE001)","21","28.3","31.7","29.5","28.9","27.5","30","34.4","29.9","28.3"
"Gnowangerup GRDC (GN002)","15.4","22.8","26.6","30","26.5","23.4","25.4","30.4","27","20.1"
"Goodlands (KL002)","25.5","31.9","32.9","30.5","29.2","30.8","31.4","34.1","34.7","31.1"
"Grass Patch (GP001)","16.7","19.8","28.6","27.9","29.5","23.7","25.7","27.7","28.1","24.6"
"Gutha West (GU001)","32.4","31.5","33.1","30.3","31.1","32","33.4","37.4","33.7","32.1"
