"Name","04/04","05/04","06/04","07/04","08/04","09/04","10/04","11/04","12/04","13/04"
"Allanooka (AN001)","21.9","18.2","17.5","18.7","18.1","16.2","13.2","19.9","19.7","17.9"
"Amelup (AM001)","11","11.5","11.9","14","12.7","12.2","7.2","11.9","16.8","15.2"
"Babakin (SH002)","15.3","13.7","13.9","17.1","15.4","16.6","11.6","11.8","18.8","17.8"
"Badgingarra (BA)","22.3","18.3","15.2","15.4","15.3","16.2","14.6","18.8","19.3","16.6"
"Balingup (BP001)","14","14.8","15.2","14.4","15.3","12.1","7.6","13.5","16.8","15.8"
"Baudin (Lawson Rd 2) (BAUD)","13.6","13.6","13.9","12.8","16.2","15.3","10.1","13.5","16.1","15.2"
"Beacon (BE001)","19.3","17.3","19.7","17.6","16","13.9","14.4","18.7","23.2","17.7"
"Belka East (ME004)","18.5","14.1","15.1","15.3","12.9","15.1","9.5","14.6","20.8","18.3"
"Bencubbin (BC001)","20.2","15.3","15.9","18.4","17","14.6","13.9","17.3","23.5","17.7"
"Bindi Bindi (BB001)","19.1","15.5","14.9","17.4","15.3","15.3","13.2","15.8","16.9","17.5"
"Bindoo (ER002)","17.4","18.4","14.5","14.2","11.4","10.3","11.6","15.4","15.7","14"
"Bindoon (BX001)","19.8","17.5","17","13.3","15.4","13.6","9.6","15.3","15.7","16.6"
"Binnu (BI)","20.9","19.2","16.3","17.4","15.9","16.2","14.2","17.8","19.6","17.6"
"Binnu West (BI002)","15.5","16.5","13.2","14.3","12.6","13.7","13.4","17.3","16.2","13.7"
"Bonnie Rock (BR)","19.2","16.4","18.1","17.4","16","13.6","12.2","13.8","19.4","16.7"
"Boyanup (DB002)","15.1","15.2","16.1","15.8","17.4","14.3","10.4","16.1","18.1","16.9"
"Boyatup (BO001)","10.4","14.8","15.6","18.5","17.9","17.7","8.3","9.6","13.9","17.5"
"Bremer Bay (BY001)","15.7","15.8","18","17.2","15.8","15.9","10.4","14.3","18.7","18.5"
"Brookton (BN001)","15.1","14.2","16.4","16.1","15.6","17.2","12.2","15.7","18.7","17.5"
"Broome (Skuthorpe) (BR010)","19.8","20.3","24.2","24","23.7","24.1","23.6","20.2","21.3","18.7"
"Brunswick Junction (BJ)","16.2","16.5","16.8","14","15.8","11.7","7.4","15.9","17.1","17.6"
"Buntine West (BT001)","23.1","16.1","16.4","18.7","17.1","15.9","13.9","17.9","17.2","16.4"
"Burakin (BK001)","18","14.9","15.9","18.5","16.5","15.7","14.9","18.3","22.4","18.3"
"Burracoppin South (SB001)","17.2","13.4","14.3","18.2","15.1","16.7","13.7","15.9","20.4","16.9"
"Canna East (CE001)","21.8","17.5","16.3","18.8","14.9","15.1","14.6","18.6","18.6","17.7"
"Capel (CL001)","14.7","14.8","16","15","15","13.2","9.2","16.2","17.2","16.6"
"Carnamah East (CE002)","23.8","17.3","16.8","18.6","15.5","15.6","13.6","19.7","18.1","17.2"
"Carnarvon 1 (CA)","24","19.5","18","19.1","21.4","21.4","20.9","21.9","22.1","22.7"
"Cascade (CA001)","13.5","13.8","14.7","17.9","18.4","16.2","9.2","9.9","14.4","17.7"
