latitude,longitude,moisture,elevation_m,yield_t_ha
-30.266443,149.879875,10,258.74472,0.47316047
-30.266444,149.879886,10,258.74472,0.37209082
-30.266446,149.879896,10,258.74472,0.40857031
-30.266447,149.879905,10,258.7752,0.39397851
-30.266448,149.879914,10,258.7752,0.39204724
-30.266449,149.879923,10,258.7752,0.37026684
-30.26645,149.879932,10,258.80568,0.39655353
-30.266452,149.879943,10,258.7752,0.3447312
-30.266454,149.879953,10,258.80568,0.34856154
-30.266455,149.879964,10,258.80568,0.3325862
-30.266456,149.879975,10,258.80568,0.32174912
-30.266458,149.879986,10,258.83616,0.31025808
-30.266459,149.879996,10,258.80568,0.29521696
-30.266461,149.880007,10,258.83616,0.29493669
-30.266463,149.880018,10,258.86664,0.28344565
-30.266471,149.88008,10,258.89712,0.2707966
-30.266473,149.880091,10,258.89712,0.2716064
-30.266476,149.880114,10,258.9276,0.27435971
-30.266479,149.880134,10,258.95808,0.34217763
-30.266479,149.880136,10,258.95808,1.14910399
-30.266494,149.880241,10,259.08,0.29836384
-30.266496,149.880252,10,259.08,0.32607053
-30.266497,149.880264,10,259.08,0.287276
-30.266499,149.880278,10,259.11048,0.28580279
-30.266502,149.880292,10,259.11048,0.30642773
-30.266504,149.880305,10,259.14096,0.33646967
-30.266507,149.880318,10,259.14096,0.35749902
-30.266509,149.880332,10,259.14096,0.36951579
-30.266511,149.880346,10,259.14096,0.37124898
-30.266513,149.880359,10,259.17144,0.39054515
-30.266514,149.880372,10,259.17144,0.41367744
-30.266517,149.880385,10,259.20192,0.42899882
-30.266519,149.880398,10,259.2324,0.44432021
-30.266522,149.880412,10,259.26288,0.44490949
-30.266524,149.880425,10,259.26288,0.46564998
-30.266527,149.880439,10,259.26288,0.48067095
-30.266529,149.880453,10,259.29336,0.46521301
-30.266532,149.880471,10,259.32384,0.39561192
-30.266534,149.880487,10,259.35432,0.4596416
-30.266536,149.880503,10,259.32384,0.4596416
-30.266539,149.880519,10,259.35432,0.47180143
-30.266541,149.880533,10,259.35432,0.60684708
-30.266544,149.880555,10,259.35432,0.38764954
-30.266546,149.880573,10,259.35432,0.49118563
-30.266549,149.880587,10,259.35432,0.61559142
-30.266552,149.880605,10,259.3848,0.51737436
-30.266555,149.880626,10,259.3848,0.46155677
-30.266558,149.880646,10,259.3848,0.5226062
-30.26656,149.880663,10,259.41528,0.574552
-30.266563,149.880682,10,259.41528,0.55327229
-30.266565,149.880701,10,259.41528,0.57345761
-30.266568,149.880718,10,259.44576,0.59708345
-30.266571,149.880737,10,259.44576,0.57832839
-30.266573,149.880752,10,259.47624,0.7521408
-30.266576,149.880773,10,259.50672,0.50209845
-30.266579,149.880793,10,259.47624,0.55565562
-30.266583,149.880813,10,259.50672,0.54632839
-30.266586,149.880833,10,259.5372,0.53525363
-30.266589,149.880853,10,259.5372,0.52446285
-30.266593,149.880874,10,259.50672,0.51857001
-30.266596,149.880894,10,259.5372,0.5241527
-30.266599,149.880914,10,259.56768,0.5014272
-30.266602,149.880934,10,259.59816,0.48550887
-30.266605,149.880954,10,259.59816,0.47158034
-30.266608,149.880974,10,259.62864,0.45566202
-30.266611,149.880995,10,259.65912,0.44571306
-30.266614,149.881014,10,259.6896,0.44552979
-30.266618,149.881035,10,259.72008,0.43017739
-30.266621,149.881054,10,259.78104,0.45555589
-30.266625,149.881076,10,259.72008,0.42641449
-30.266629,149.881098,9.1,259.75056,0.44421206
-30.266632,149.88112,9.1,259.78104,0.46969964
-30.266636,149.881143,9.1,259.81152,0.48942922
-30.26664,149.881165,9.1,259.81152,0.51821918
-30.266644,149.881187,9.1,259.842,0.56254724
-30.266648,149.881211,9.1,259.842,0.56912142
-30.266651,149.881234,9.1,259.842,0.62074249
-30.266654,149.881257,9.1,259.81152,0.65811519
-30.266658,149.88128,9.1,259.842,0.66470443
-30.266661,149.881302,9.1,259.842,0.70188366
-30.266664,149.881322,9.1,259.81152,0.77780229
-30.266666,149.881341,9.1,259.842,0.79464164
-30.266669,149.88136,9.1,259.87248,0.84325359
-30.266672,149.881378,9.1,259.87248,0.80467922
-30.266674,149.881396,9.1,259.90296,0.79193543
-30.266677,149.881415,9.1,259.90296,0.72360103
-30.26668,149.881433,9.1,259.90296,0.69635702
-30.266683,149.881451,9.1,259.90296,0.66257444
-30.266685,149.88147,9.1,259.90296,0.67132458
-30.266688,149.881488,9.1,259.90296,0.62328252
-30.26669,149.881506,9.1,259.90296,0.64365367
-30.266694,149.881525,9.1,259.90296,0.62988162
-30.266696,149.881543,9.1,259.90296,0.65486715
-30.2667,149.881562,9.1,259.93344,0.63617802
-30.266703,149.881581,9.1,259.93344,0.62311058
-30.266706,149.881602,9.1,259.93344,0.60723116
-30.26671,149.881622,9.1,259.93344,0.64952599
-30.266713,149.881644,9.1,259.96392,0.60966197
-30.266716,149.881666,9.1,259.96392,0.61170185
-30.266719,149.881688,9.1,259.96392,0.63372173
-30.266722,149.88171,9.1,259.9944,0.64881457
-30.266725,149.881731,9.1,259.9944,0.66427553
-30.266728,149.881754,9.1,259.9944,0.64447159
-30.26673,149.881775,9.1,259.9944,0.66616268
-30.266733,149.881798,9.1,260.05536,0.64661723
-30.266737,149.88182,9.1,260.02488,0.63536889
-30.266741,149.881841,9.1,260.02488,0.64881457
-30.266745,149.881863,9.1,260.05536,0.65295265
-30.266749,149.881885,9.1,260.05536,0.62080456
-30.266753,149.881906,9.1,260.08584,0.63017048
-30.266757,149.88193,5,260.08584,0.61056012
-30.266762,149.881957,5,260.1468,0.5144419
-30.266765,149.881975,5,260.17728,0.79435882
-30.26677,149.882002,5,260.1468,0.50936053
-30.266773,149.882025,5,260.20776,0.63946732
-30.266777,149.882048,5,260.17728,0.64874078
-30.266781,149.882071,5,260.17728,0.66711871
-30.266784,149.882094,5,260.20776,0.69955788
-30.266788,149.882118,5,260.20776,0.66255387
-30.266792,149.882141,5,260.26872,0.70141729
-30.266796,149.882165,5,260.26872,0.70440548
-30.266799,149.882183,5,260.26872,0.90335382
-30.266803,149.882212,5,260.26872,0.57888749
-30.266807,149.882235,5,260.32968,0.66487252
-30.26681,149.882259,5,260.32968,0.64508585
-30.266813,149.882282,5,260.36016,0.61601155
-30.266816,149.882306,5,260.36016,0.57226034
-30.26682,149.882329,5,260.39064,0.56511066
-30.266824,149.882353,5,260.42112,0.49908913
-30.266829,149.882377,5,260.42112,0.47814569
-30.266833,149.882401,5,260.42112,0.45705102
-30.266838,149.882425,5,260.48208,0.4443015
-30.266842,149.882448,5,260.48208,0.43363827
-30.266846,149.882472,5,260.51256,0.43186106
-30.266851,149.882496,5,260.54304,0.44074709
-30.266855,149.88252,5,260.57352,0.45674195
-30.266859,149.882543,5,260.604,0.48154296
-30.266862,149.882568,5,260.604,0.47141335
-30.266865,149.882592,5,260.63448,0.4922088
-30.266867,149.882616,5,260.63448,0.51392849
-30.266871,149.88264,5,260.63448,0.50256711
-30.266874,149.882664,5,260.63448,0.51361254
-30.266878,149.882688,5,260.66496,0.51425153
-30.266882,149.882712,5,260.69544,0.47300434
-30.266886,149.882736,5,260.72592,0.46029636
-30.26689,149.882759,5,260.78688,0.44564428
-30.266893,149.882783,5,260.84784,0.42947171
-30.266896,149.882806,5,260.9088,0.42048694
-30.2669,149.882829,5,261.03072,0.42940974
-30.266903,149.882854,5,261.09168,0.40866183
-30.266907,149.882879,5,261.03072,0.41181711
-30.266909,149.882902,5,260.9088,0.49447182
-30.266912,149.882924,5,260.84784,0.57302826
-30.266914,149.882944,5,260.78688,0.64275617
-30.266916,149.882963,5,260.84784,0.73995068
-30.266919,149.882984,5,260.87832,0.75612038
-30.266922,149.883005,5,260.9088,0.7823483
-30.266926,149.883026,5,261.00024,0.81454553
-30.266929,149.883048,5,261.03072,0.82980711
-30.266933,149.883071,5,261.09168,0.8160644
-30.266936,149.883094,5,261.15264,0.82765529
-30.266939,149.883116,5,261.15264,0.79922608
-30.266941,149.883137,5,261.12216,0.83728899
-30.266943,149.883151,5,261.12216,1.1560396
-30.266944,149.883158,5,261.12216,2.51729641
-30.266944,149.883159,5,261.12216,1.48787687
-30.266945,149.883164,5,261.15264,0.54807059
-30.266946,149.883174,5,261.15264,0.3447312
-30.266948,149.883188,5,261.15264,0.32345149
-30.266949,149.883204,5,261.12216,0.3618271
-30.266951,149.883219,5,261.15264,0.43396409
-30.266953,149.883238,5,261.12216,0.45188076
-30.266955,149.883255,5,261.15264,0.54240328
-30.266957,149.883272,5,261.15264,0.59962931
-30.26696,149.88329,5,261.18312,0.62311979
-30.266964,149.883309,5,261.15264,0.5958317
-30.266968,149.883333,5,261.15264,0.52427577
-30.266971,149.883349,5,261.18312,0.81127998
-30.266975,149.883374,5,261.18312,0.53679184
-30.266977,149.88339,5,261.18312,0.8377924
-30.26698,149.883414,5,261.18312,0.56428223
-30.266983,149.883435,5,261.2136,0.68260867
-30.266985,149.883451,5,261.18312,0.85558137
-30.266989,149.883475,5,261.2136,0.57386555
-30.266992,149.883497,5,261.2136,0.65084752
-30.266995,149.883518,5,261.24408,0.64105748
