Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
S1,-30.264663,149.85268,0.05,0,10,147.7031484,4.582331181,244.9010315,0.138805479,0.182145014,0.688713253,55.77109602,21.82347236,22.40543162,6.7,265,1,1.7,1.2,0.2,12,12,1.2,0.74,26,2.85
S10,-30.265302,149.884838,0.05,0,10,142.3945205,5.517578125,263.7429199,0.146911621,0.185737193,0.615439594,50.39706781,27.48930971,22.11362248,8.32,69,0.82,1.4,1.1,0.28,7.5,11,0.69,0.42,20,2.1
S11,-30.278542,149.838791,0.05,0,10,182.3609699,3.436733007,233.2019501,0.13104324,0.185662463,0.596829593,56.09224057,12.46494235,31.44281708,8.94,247,0.64,1.1,1.2,0.56,14,8.2,0.64,1.7,25,6.8
S12,-30.275437,149.830843,0.05,0,10,140.7887946,4.628035069,231.1412506,0.142665878,0.193096384,0.746698439,48.45548153,18.17080557,33.3737129,8.49,189,1.02,1.8,1.1,0.08,9.5,9.1,1.5,0.22,20,1.1
S13,-30.272546,149.83739,0.05,0,10,139.5196365,5.145851135,234.8033295,0.151090145,0.193553671,0.682542384,45.31463748,26.50478796,28.18057456,8.7,145,1.28,2.2,1.5,0.22,10,4.9,1.9,0.022,17,0.13
S14,-30.274718,149.884349,0.05,0,10,147.5545786,5.205207348,263.1074219,0.127101958,0.173898071,0.673366129,47.59746147,21.90994258,30.49259595,8.52,203,0.79,1.4,0.96,0.17,12,9.1,1.4,0.57,23,2.48
S15,-30.283844,149.834467,0.05,0,10,147.9735385,3.425433397,231.0079956,0.138562486,0.193845436,0.602832854,50.05977286,12.70173341,37.23849372,8.65,205,0.68,1.2,0.9,0.22,18,8.2,1.2,0.57,28,2.04
S16,-30.271458,149.875227,0.05,0,10,127.8574795,4.584733009,257.4149475,0.13028197,0.173050866,0.649187386,50.07473842,13.4529148,36.47234679,8.2,138,0.75,1.3,0.96,0.21,15,9.1,1.3,0.26,26,1
S17,-30.276671,149.887489,0.05,0,10,121.839191,4.964675426,262.6378479,0.13035658,0.181822523,0.581758201,49.85119048,16.36904762,33.7797619,8.34,173,0.6,1,0.99,0.39,14,7.7,1.5,0.07,23,0.3
S18,-30.282576,149.820073,0.05,0,10,154.5290705,3.613658428,225.8434906,0.139158621,0.181264177,0.680900037,50.85003036,12.14329083,37.00667881,8.36,206,0.65,1.1,0.83,0.18,15,9.9,1,0.48,26,1.85
S19,-30.285861,149.826839,0.05,0,10,157.3736787,3.591239929,227.593277,0.13895224,0.208478898,0.600133359,51.15859163,14.29431237,34.547096,8.2,273,0.92,1.6,1.1,0.18,15,9.9,1.2,0.3,26,1.15
S2,-30.263587,149.860751,0.05,0,10,151.1892292,4.49176693,247.3591766,0.13506493,0.187883481,0.640395582,55.53817272,17.99123905,26.47058824,8.58,175,0.85,1.5,0.98,0.13,13,12,1.5,0.78,27,2.89
S20,-30.278559,149.82857,0.05,0,10,144.6899909,3.668415785,229.7151337,0.131727412,0.18113552,0.711392403,54.03782648,14.25998199,31.70219153,8.29,157,0.9,1.5,1.1,0.2,16,9.9,1.7,0.15,28,0.54
S21,-30.276896,149.843088,0.05,0,10,107.2384064,1.133232474,236.9454803,0.205287397,0.359507263,0.573719919,5.403812144,4.421300845,90.17488701,6.62,126,0.5,0.86,0.67,0.17,0.32,0.28,0.33,0.022,0.95,2.32
S22,-30.263432,149.899964,0.05,0,10,125.2490875,5.839712143,273.7011108,0.200708315,0.322032124,0.497645199,36.35788808,15.80777743,47.83433449,7.88,113,1,1.7,1.2,0.2,9,6.4,1.3,0.11,17,0.65
S23,-30.277575,149.834507,0.05,0,10,172.3987342,3.980249882,231.3972321,0.189604878,0.308664858,0.591339648,43.63694065,16.66137734,39.70168201,7.92,249,0.94,1.6,1.1,0.16,8.5,11,1,0.4,21,1.9
S24,-30.257766,149.893432,0.05,0,10,161.3080527,5.571778774,265.969635,0.139216676,0.184830591,0.620129883,51.90311419,20.44668135,27.65020447,7.99,156,0.8,1.4,1,0.2,15,11,0.87,0.36,27,1.33
S25,-30.266035,149.897947,0.05,0,10,155.236213,5.960235119,274.1459656,0.154532671,0.196848184,0.62099123,44.07294833,18.23708207,37.6899696,7.75,81,1,1.7,1.3,0.3,10,9.1,1.3,0.2,21,0.95
S26,-30.264101,149.899173,0.05,0,10,148.3221964,6.015975952,273.4944153,0.138830766,0.193137854,0.645688772,29.5992714,15.17911354,55.22161506,7.48,100,0.86,1.5,0.99,0.13,9,5.2,1,0.19,15,1.27
S27,-30.267325,149.885644,0.05,0,10,144.1002387,5.841292381,265.3091736,0.139537871,0.185621083,0.583888531,43.17643075,15.23874026,41.58482899,7.11,219,0.77,1.3,0.94,0.17,7.5,7.1,0.74,0.57,16,3.56
S28,-30.275125,149.880262,0.05,0,10,152.796612,4.097705364,259.9962158,0.115285084,0.162053674,0.632539451,55.62619199,2.383979657,41.98982835,8.2,211,0.7,1.2,0.94,0.24,14,9.1,1,1,25,4
S29,-30.262713,149.852816,0.05,0,10,150.2158648,4.283918858,244.6181335,0.142437026,0.181601658,0.655089796,52.14819427,16.34495641,31.50684932,8.5,427,0.73,1.3,1.1,0.37,13,12,0.67,0.74,26,2.85
S3,-30.267655,149.850792,0.05,0,10,152.6180441,4.498130798,242.2137604,0.135523438,0.191244602,0.699925005,58.21173549,17.85159888,23.93666563,8.75,223,0.75,1.3,0.97,0.22,14,9.9,0.87,0.74,26,2.85
S30,-30.261139,149.870552,0.05,0,10,142.4561147,4.375223637,251.3080292,0.122533724,0.173733979,0.631071806,51.02040816,17.96493245,31.01465938,8.68,152,0.52,0.89,0.76,0.24,17,12,0.95,0.61,31,1.97
S4,-30.265899,149.853125,0.05,0,10,147.4542263,4.307341099,244.4859619,0.138644651,0.189329848,0.689990282,54.88386892,15.9083678,29.20776328,8.7,285,0.84,1.4,0.97,0.13,15,11,1,0.78,28,2.79
S5,-30.265924,149.869151,0.05,0,10,143.9315399,4.048741817,253.9397736,0.126525611,0.181925282,0.560594678,52.85579047,21.30009467,25.84411486,8.67,155,0.88,1.5,1.1,0.22,16,9.9,1.6,0.61,28,2.18
S6,-30.268069,149.846951,0.05,0,10,152.4864274,4.088449001,240.4844818,0.131161854,0.177929893,0.591962934,50.59153176,14.7882939,34.62017435,7.61,257,0.64,1.1,0.91,0.27,8,11,0.69,1.6,21,7.62
S7,-30.272084,149.895901,0.05,0,10,141.9775654,5.491512299,271.3359985,0.127045423,0.174290255,0.647362232,59.69667635,21.78121975,18.5221039,8.35,115,0.79,1.4,1,0.21,10,12,1.3,0.042,23,0.18
S8,-30.258601,149.89123,0.05,0,10,170.2048048,4.819519043,263.2955322,0.134969845,0.171756074,0.67615658,58.12101911,22.29299363,19.58598726,8.75,208,0.63,1.1,1,0.37,14,11,1.1,0.74,27,2.74
S9,-30.272367,149.896524,0.05,0,10,146.1882659,5.516218662,271.4320984,0.126636043,0.174745336,0.662965775,60.13470173,22.45028865,17.41500962,8.43,218,0.84,1.4,1,0.16,13,12,1.9,0.022,27,0.08
TA1,-30.28102126,149.818628,0.05,0,10,158.2905448,3.838969469,225.3836212,0.142501563,0.19267422,0.690265477,56.99764252,17.27855301,29.26978111,8.12,124,,,,,,,,,,
TA4,-30.27797987,149.830808,0.05,0,10,148.0493709,4.279098511,230.5395966,0.134326965,0.185512081,0.706168592,50.5919342,23.83951569,24.54981804,9.35,64,,,,,,,,,,
TAB,-30.26717535,149.882689,0.05,0,10,151.2262315,4.792497158,260.3092651,0.127893597,0.173751861,0.62772131,42.45148468,20.63090897,37.0071907,9.85,73,,,,,,,,,,
TAB1,-30.26929718,149.882903,0.05,0,10,139.129055,5.666369915,263.2702637,0.135541812,0.173763707,0.577294469,53.75276184,22.21949196,25.69657135,7.73,56,,,,,,,,,,
TAB2,-30.27283315,149.880646,0.05,0,10,149.2578801,5.03164053,263.0981445,0.131144106,0.177117839,0.664868832,52.63161087,19.44849205,37.63595581,7.6,79,,,,,,,,,,
TAB4,-30.27671362,149.8821499,0.05,0,10,150.9220566,3.939651728,260.4832764,0.126693174,0.1773545,0.653427303,52.22725677,22.9676857,21.76324844,8.48,94,,,,,,,,,,
TAC1,-30.26399085,149.8858839,0.05,0,10,144.3272043,6.101981163,264.392334,0.138534084,0.18769449,0.609160304,56.64229202,22.0555172,24.53022003,8.1,51,,,,,,,,,,
TAC2,-30.26258731,149.8876411,0.05,0,10,153.8330007,5.831153393,265.3240051,0.146132275,0.185845524,0.614225447,54.58945084,21.10432053,26.27251434,7.91,55,,,,,,,,,,
TAC3,-30.2623213,149.891193,0.05,0,10,153.5979468,6.290547848,266.9286804,0.146576405,0.192629531,0.664916217,44.00125885,19.12191391,36.1505127,7.05,49,,,,,,,,,,
TAC4,-30.25983462,149.8932519,0.05,0,10,158.2554159,5.392329693,266.9846802,0.135138974,0.181151375,0.660768747,39.02548981,22.97245598,40.63564301,7.85,53,,,,,,,,,,
TAD1,-30.26524563,149.8916319,0.05,0,10,126.7770065,6.005281925,269.4475403,0.134481519,0.181670278,0.554500103,38.68597412,11.31700516,43.43282318,7.71,135,,,,,,,,,,
TAD2,-30.27088496,149.890816,0.05,0,10,146.6139661,5.082808018,267.4234009,0.126269355,0.164095998,0.630875468,56.03487778,22.58899307,17.75072098,6.88,65,,,,,,,,,,
TAG2,-30.27056688,149.895872,0.05,0,10,133.3854719,6.076806545,271.4082642,0.139428973,0.185976431,0.632387698,44.7442894,20.10220337,30.67168236,7.35,61,,,,,,,,,,
TAG3,-30.26882367,149.8965749,0.05,0,10,160.7482661,4.82033205,272.321991,0.129831582,0.179436848,0.614665687,53.57973862,21.4398613,18.52569199,8.22,64,,,,,,,,,,
TAG4,-30.26761533,149.899402,0.05,0,10,143.0366862,4.997029305,275.3404846,0.135084152,0.182157397,0.635914862,50.64611053,24.23393631,25.16761971,7.82,48,,,,,,,,,,
